value,original_filename,spectrogram_filename,spectrogram_path,source_type
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_737.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_737.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1317.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1317.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2475.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2475.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_1986.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1986.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_393.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_393.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3486.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3486.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2683.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2683.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3326.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3326.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3704.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3704.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2445.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2445.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1937.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1937.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2862.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2862.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_777.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_777.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2583.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2583.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1099.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1099.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_982.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_982.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_980.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_980.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1906.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1906.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_820.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_820.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_953.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_953.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1060.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1060.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3111.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3111.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_389.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_389.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_414.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_414.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2113.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2113.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_654.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_654.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3134.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3134.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1023.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1023.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2623.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2623.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1315.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1315.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2022.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2022.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1294.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1294.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_589.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_589.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1707.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1707.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1550.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1550.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1699.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1699.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3064.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3064.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1642.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1642.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_1861.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1861.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_701.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_701.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2037.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2037.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1771.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1771.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2436.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2436.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_677.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_677.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2053.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2053.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2406.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2406.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1425.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1425.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2218.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2218.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3400.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3400.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2245.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2245.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1082.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1082.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3094.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3094.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_110.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_110.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1768.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1768.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1017.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1017.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1040.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1040.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2917.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2917.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2538.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2538.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2530.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2530.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1350.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1350.pt,o
0,0__happiness_neutral_h_050.wav,spectrogram_2729.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2729.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2703.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2703.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2760.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2760.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3361.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3361.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1285.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1285.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2082.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2082.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2059.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2059.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1553.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1553.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2158.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2158.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1719.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1719.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_107.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_107.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_29.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_29.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1153.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1153.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_960.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_960.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_751.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_751.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_584.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_584.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_341.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_341.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1449.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1449.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1529.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1529.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1697.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1697.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_961.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_961.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_548.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_548.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2396.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2396.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1783.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1783.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3440.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3440.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3740.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3740.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3433.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3433.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3664.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3664.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3762.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3762.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3714.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3714.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2850.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2850.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_862.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_862.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_1155.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1155.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_3579.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_3579.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_696.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_696.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2372.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2372.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2032.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2032.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_729.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_729.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_849.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_849.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2316.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2316.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_90.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_90.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_738.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_738.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2269.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2269.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_741.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_741.pt,o
0,0_Lp._Идеальный_МИР_#8_ЯЙЦО_ДРАКОНА_•_Майнкрафт.wav,spectrogram_2003.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2003.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_2161.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_2161.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_624.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_624.pt,o
0,0_Lp._Идеальный_МИР_#30_НОВЫЙ_ПЕРСОНАЖ_•_Майнкрафт.wav,spectrogram_69.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_69.pt,o
0,0_Lp._Идеальный_МИР_#3_ПЕРВЫЙ_КОНТАКТ_•_Майнкрафт.wav,spectrogram_10.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_10.pt,o
0,0_Lp._Идеальный_МИР_#6_ЭКЗАМЕН_ИМПЕРИИ_•_Майнкрафт.wav,spectrogram_1885.pt,D:\4K_Video_Downloader\raya_prime_ava\app\data\spectrograms\spectrogram_1885.pt,o
